Source,Target
Aaron F. Bobick,Amos Y. Johnson
Achim G. Hoffmann,Paul Compton
Achim G. Hoffmann,Rex Bing Hung Kwok
Ada Wai-Chee Fu,Irwin King
Adam Field,Pieter H. Hartel
Adam Field,Wim Mooij
Adam Huang,Chris Folk
Adam Moore,Craig D. Stewart
Adam Moore,Mohamed Ramzy Zakaria
Adnan Darwiche,Pierre Marquis
Adrien Bartoli,Peter F. Sturm
Agostino Dovier,Vittorio Murino
Ahmed K. Elmagarmid,Brahim Medjahed
Ahmed K. Elmagarmid,Mourad Ouzzani
Ahmed M. Elgammal,Larry S. Davis
Alaa R. Alameldeen,Jeffrey F. Naughton
Alain Dutech,François Charpillet
Alain Dutech,Olivier Buffet
Alain Désilets,Berry de Bruijn
Alain Désilets,Joel D. Martin
Alain Trouvé,Yong Yu 0006
Alan Hopkins,Nathan S. Lewis
Alan M. Frisch,Timothy J. Peugniez
Alan S. Wagner,Yu Yin
Alberto Finzi,Fiora Pirri
Alberto Negro,Paul P. Maglio
Alberto Negro,Vittorio Scarano
Alberto O. Mendelzon,George A. Mihaila
Alberto Suárez 0001,James F. Lutsko
Albrecht Schmidt 0002,Martin L. Kersten
Albrecht Schmidt 0002,Menzo Windhouwer
Aldo Gangemi,Alessandro Oltramari
Aldo Gangemi,Claudio Masolo
Aldo Gangemi,Nicola Guarino
Aleksandar Lazarevic,Zoran Obradovic
Aleksander Kolcz,Vidya Prabakarmurthi
Alessandro Bissacco,Alessandro Chiuso
Alessandro Bissacco,Stefano Soatto
Alessandro Bissacco,Yi Ma 0001
Alessandro Chiuso,Stefano Soatto
Alessandro Chiuso,Yi Ma 0001
Alessandro Cimatti,Marco Roveri
Alessandro Cimatti,Paolo Traverso
Alessandro Moschitti,Maria Teresa Pazienza
Alessandro Serra,Attilio Giordana
Alessandro Serra,Lorenza Saitta
Alessio Massaro,Marcello Pelillo
Alex Alves Freitas,Júlio C. Nievola
Alex Rav-Acha,Shmuel Peleg
Alex Safonov,John V. Carlis
Alex Safonov,Joseph A. Konstan
Alex Tyrrell,Arun Vachher
Alex Tyrrell,Peter Jackson
Alex Tyrrell,Tim Travers
Alexander Bachlechner,Carmen Riedler
Alexander Bachlechner,Christian Hanin
Alexander Bachlechner,Christian Hofbauer
Alexander Bachlechner,Margit Lang
Alexander Bachlechner,Roland Tusch
Alexander Maedche,Steffen Staab
Alexander Markowetz,Bernhard Seeger
Alexander Markowetz,Dimitrios Gunopulos
Alexander Norbash,William M. Wells III
Alexandre Delteil,Catherine Faron-Zucker
Alexandre Delteil,Rose Dieng
Alexandre Termier,Michèle Sebag
Alexandros Kalousis,Melanie Hilario
Alexandros Labrinidis,Nick Roussopoulos
Alexandros Nanopoulos,Dimitrios Katsaros 0001
Alexandros Nanopoulos,Yannis Manolopoulos
Alexandros Nanopoulos,Yannis Theodoridis
Alexey Zalesny,Luc Van Gool
Alexia Prskawetz,Francesco C. Billari
Alfons Kemper,Bernhard Zeller
Alfons Kemper,Christian Wiesner
Alfons Kemper,Donald Kossmann
Alfred M. Bruckstein,Ron Kimmel
Alice X. Zheng,Andrew Y. Ng
Alice X. Zheng,Michael I. Jordan
Alin Dobra,Johannes Gehrke
Alina Beygelzimer,Sheng Ma
Allan Borodin,Gareth O. Roberts
Allan Borodin,Jeffrey S. Rosenthal
Allan Borodin,Panayiotis Tsaparas
Allan D. Jepson,David J. Fleet
Allan D. Jepson,Thomas F. El-Maraghi
Allen Brown,Jonathan Robie
Allen Brown,Matthew Fuchs
Allen Brown,Philip Wadler
Allison L. Powell,Fredric C. Gey
Allison L. Powell,Natalia Perelman
Alon Y. Halevy,Dan Suciu
Alon Y. Halevy,Daniel S. Weld
Amanda Clare,Ross D. King
Amanda Stent,Alexander C. Loui
Amedea Ambrosetti,Cristina Bedeschi
Amedea Ambrosetti,Mario Paolucci
Amedea Ambrosetti,Orietta Gargano
Amedea Ambrosetti,Paola Patteri
Amedea Ambrosetti,Pina Ticca
Amedea Ambrosetti,Rossella Molinaro
Amedea Ambrosetti,Stefano De Francisci
Amir Jafari,Amy Greenwald
Amir Jafari,David Gondek
Amir M. Zarkesh,Jafar Adibi
Amir Netz,Jeff Bernhardt
Amir Netz,Usama M. Fayyad
Amit Anil Nanavati,Krishna Prasad Chitrapura
Amit Ganesh,Ashok Joshi
Amit Ganesh,Ron Weiss
Amit Singhal 0001,Marcin Kaszkiel
Amnon Lotem,Moni Naor
Amnon Lotem,Steven Mitchell
Amnon Shashua,Anat Levin
Amy Greenwald,David Gondek
Amy McGovern,Andrew G. Barto
Amélie Marian,Gregory Cobena
Amélie Marian,Laurent Mignet
Amélie Marian,Serge Abiteboul
Anand Rajaraman,Jeffrey D. Ullman
Anand Rangarajan 0001,Eric Mjolsness
Anand Sivasubramaniam,Mahmut T. Kandemir
Anand Sivasubramaniam,Mary Jane Irwin
Anastassia Ailamaki,David J. DeWitt
Anastassia Ailamaki,Marios Skounakis
Anastassia Ailamaki,Mark D. Hill
Anat Levin,Amnon Shashua
Anat Levin,Lior Wolf
Anders Heyden,Roberto Cipolla
Andrea Fusiello,Umberto Castellani
Andrea Fusiello,Vittorio Murino
