Source,Target
Aaron Parker,Jeffrey R. Croxell
Aaron Strauss,Anis Zaman
Aaron Strauss,Keith J. O'Hara
Aaron Wilson,Alan Fern
Aaron Wilson,Prasad Tadepalli
Aart J. C. Bik,Grzegorz Czajkowski
Aart J. C. Bik,Ilan Horn
Aart J. C. Bik,James C. Dehnert
Aart J. C. Bik,Naty Leiser
Abbas Z. Kouzani,Grigorios Tsoumakas
Abdullah Mueen 0001,Eamonn J. Keogh
Abdullah Mueen 0001,Jie Liu 0001
Abdullah Mueen 0001,Suman Nath
Abdullah Mueen 0001,Walid A. Najjar
Abhay Harpale,Zhen Yue
Abhay Kumar Jha,Dan Olteanu
Abhay Kumar Jha,Dan Suciu
Abraham Bagherjeiran,Andrew O. Hatch
Abraham Bagherjeiran,Rajesh Parekh
Abraham Othman,Tuomas Sandholm
Abraham Shultz,Holly A. Yanco
Abraham Shultz,Philip Kovac
Abram L. Friesen,Dan Grossman
Abram L. Friesen,Magdalena Balazinska
Achim Guttmann,Chris Clifton
Ad Feelders,Matthijs van Leeuwen
Ada Wai-Chee Fu,Jeffrey Xu Yu
Ada Wai-Chee Fu,Jia Liu
Ada Wai-Chee Fu,Jian Pei
Ada Wai-Chee Fu,Ke Wang 0001
Ada Wai-Chee Fu,Philip S. Yu
Ada Wai-Chee Fu,Raymond Chi-Wing Wong
Adam Barth,Collin Jackson
Adam Bermingham,Alan F. Smeaton
Adam Hupp,Kevin Marks
Adam Hupp,Ramesh C. Jain
Adam Jatowt,Hideki Kawai
Adam Jatowt,Katsumi Tanaka
Adam Jatowt,Kazuo Kunieda
Adam Jatowt,Keiji Yamada
Adam Jatowt,Kensuke Kanazawa
Adam M. Sykulski,Niall M. Adams
Adam M. Sykulski,Nicholas R. Jennings
Adam Marcus 0002,David R. Karger
Adam Marcus 0002,Fabian Howahl
Adam Marcus 0002,Samuel Madden
Adam Messinger,Amit Ganesh
Adam Messinger,German Shegalov
Adam Messinger,Paul Parkinson
Adam Messinger,Srinivas Kareenhalli
Adam Sadilek,Henry A. Kautz
Adam Silberstein,Brian F. Cooper
Adam Silberstein,Jeff Terrace
Adam Vogel,Dan Jurafsky
Adam Vogel,Karthik Raghunathan
Adam Woznica,Alexandros Kalousis
Adam Woznica,Melanie Hilario
Adarsh Kowdle,Devi Parikh
Aditya G. Parameswaran,Benjamin Bercovitz
Aditya G. Parameswaran,Georgia Koutrika
Aditya G. Parameswaran,Hector Garcia-Molina
Aditya G. Parameswaran,Jeffrey D. Ullman
Aditya Khosla,Cliff Chiung-Yu Lin
Aditya Khosla,Yu Cao
Aditya Krishna Menon,Charles Elkan
Aditya Pal,Joseph A. Konstan
Adrian Benton,Annie Chung
Adrian Benton,Charles E. Leonard
Adrian Benton,Cristin Freeman
Adrian Benton,John H. Holmes
Adrian Benton,Lyle H. Ungar
Adrian Daniel Popescu,Anastasia Ailamaki
Adrian Daniel Popescu,Verena Kantere
Adrian Mettler,David A. Wagner 0001
Adrian Mocan,Jan Froemberg
Adrian Mocan,Marcus Schramm
Adrian Silvescu,Doina Caragea
Adriana Kovashka,Kristen Grauman
Adrienne Porter Felt,Mark S. Miller
Ady Ecker,Allan D. Jepson
Afra M. Wohlschläger,Claudia Plant
Afra M. Wohlschläger,Nicholas Myers
Ahmad Moazin,Philippe Thiran
Ahmed Bilal Ashraf,Simon Lucey
Ahmed Hassan Awadallah,Kristina Lisa Klinkner
Ahmed Hassan Awadallah,Rosie Jones
Ahmed K. Elmagarmid,Ahmad M. Abusalah
Ahmed K. Elmagarmid,Hazem Elmeleegy
Ahmed K. Elmagarmid,Jennifer Neville
Ahmed K. Elmagarmid,Mohamed Yakout
Ahmed K. Elmagarmid,Mourad Ouzzani
Ahmed K. Elmagarmid,Yasin N. Silva
Ahmed M. Aly,Walid G. Aref
Ahmed Mseddi,Björn Þór Jónsson 0001
Ahmed Mseddi,Luc Bouganim
Ahmed Mseddi,Philippe Bonnet
Ahmed Nabil Belbachir,Norbert Brändle
Ahmed Nabil Belbachir,Stephan Schraml
Ai-Xia Chen,Xin-Wen Wang
Ai-Xia Chen,Zhan-Kun Zhao
Aidan Hogan,Alexandre Passant
Aidan Hogan,Andreas Harth
Aidan Hogan,Axel Polleres
Aidan Hogan,Stefan Decker
Aiden R. Doherty,Alan F. Smeaton
Aimee K. Zaas,Christopher W. Woods
Aimee K. Zaas,Geoffrey S. Ginsburg
Aimee K. Zaas,Lawrence Carin
Aisha B. Miah,Christopher M. Nutting
Aisha B. Miah,Kevin J. Harrington
Ajay Chander,Hiroshi Inamura
Ajay Gupta,Ashish Verma
Ajay J. Joshi,Fatih Porikli
Ajay J. Joshi,Nikolaos Papanikolopoulos
Ajay Kumar 0001,David Zhang 0001
Akash Nagle,Ben Taskar
Aki Hirai,Hiroki Takahashi
Aki Hirai,Kensuke Nakamura
Akihiro Inokuchi,Takashi Washio
Akinori Fujino,Masaaki Nagata
Akira Mizutani,Hiromi Narimatsu
Akira Mizutani,Kotaro Funakoshi
Akira Mizutani,Tomoaki Nakamura
Akira Mizutani,Yuji Hasegawa
Akira Tsuji,Yasushi Makihara
Akira Tsuji,Yasushi Yagi
