Source,Target
Aaron Hertzmann,Henning Biermann
Ada Wai-Chee Fu,Chun Hing Cai
Adam Bosworth,Bruce G. Lindsay 0001
Adam Bosworth,Dan Suciu
Adam Bosworth,Jennifer Widom
Adam Bosworth,Michael Stonebraker
Adam L. Berger,David Cohn
Adam L. Berger,Rich Caruana
Adele H. Marshall,Mary Shapcott
Adele H. Marshall,Peter H. Millard
Adele H. Marshall,Sally I. McClean
Adrian G. Bors,Edwin R. Hancock
Adrian G. Bors,Richard C. Wilson 0001
Adrian Hilton,Phil Palmer
Adrian Hilton,Philip F. McLauchlan
Agapios N. Platis,George A. Vouros
Akihiro Inokuchi,Hiroshi Motoda
Akihiro Inokuchi,Takashi Washio
Alan Bundy,Toby Walsh
Alan Fern,Robert Givan
Alan L. Yuille,James M. Coughlan
Alan L. Yuille,Song Chun Zhu
Alan L. Yuille,Ying Nian Wu
Alberto Corni,Maurizio Vincini
Alberto Corni,Michele Melchiori
Alberto Finzi,Fiora Pirri
Alberto Finzi,Raymond Reiter
Alberto O. Mendelzon,Alejandro A. Vaisman
Alberto Paccanaro,Geoffrey E. Hinton
Aleksandar Lazarevic,Tim Fiez
Aleksandar Lazarevic,Zoran Obradovic
Alessandro Cucchiarelli,Constantine D. Spyropoulos
Alessandro Cucchiarelli,Georgios Paliouras
Alessandro Cucchiarelli,Paola Velardi
Alessandro Cucchiarelli,Vangelis Karkaletsis
Alessandro Sperduti,Nicola Valdambrini
Alexander C. Berg,Dror Weitz
Alexander C. Berg,Steve Chien
Alexander Hinneburg,Charu C. Aggarwal
Alexander Hinneburg,Daniel A. Keim
Alexander J. Smola,Bernhard Schölkopf
Alexander J. Smola,Sebastian Mika
Alexander J. Smola,Takashi Onoda
Alexander Maedche,Rudi Studer
Alexander Maedche,York Sure
Alexander S. Szalay,Ani Thakar
Alexander S. Szalay,Donald R. Slutz
Alexander S. Szalay,Jim Gray 0001
Alexander S. Szalay,Peter Z. Kunszt
Alexander S. Szalay,Robert J. Brunner
Alexander Vaschillo,Artyom Shaposhnikov
Alexander Vaschillo,Dmitry Vasilevsky
Alexandros Labrinidis,Nick Roussopoulos
Alexey Tsymbal,Seppo Puuronen
Alfred Inselberg,Tova Avidan
Ali Can,Charles V. Stewart
Ali Can,Howard L. Tanenbaum
Ali Rahimi,Michael Harville
Ali Rahimi,Trevor Darrell
Alin Deutsch,Arnaud Sahuguet
Alin Deutsch,Val Tannen
Allison L. Powell,Charles L. Viles
Allison L. Powell,James C. French
Allison L. Powell,James P. Callan
Allison L. Powell,Margaret E. Connell
Alok Gupta,Gareth Funka-Lea
Alok Gupta,Richard D. White
Alok Gupta,Sandra Simon Halliburton
Alon Y. Levy,Ewa Jaslikowska
Alon Y. Levy,Igor Tatarinov
Alon Y. Levy,Jing Su
Alon Y. Levy,Marc Friedman
Alon Y. Levy,Qiong Chen
Alon Y. Levy,Rachel Pottinger
Alon Y. Levy,Shiori Betzler
Alon Y. Levy,Stefan Saroiu
Alon Y. Levy,Wai Tak Theodora Yeung
Amanda Clare,Luc Dehaspe
Amanda Spink,Michelle Sollenberger
Amanda Spink,Stephanie Milchak
Amar Gupta,Sanjeev Vadhavkar
Amedeo Cesta,Angelo Oddi
Amedeo Cesta,Stephen F. Smith
Amir Netz,Jeff Bernhardt
Amir Netz,Usama M. Fayyad
Amit Adam,Ehud Rivlin
Amit Adam,Ilan Shimshoni
Amit Shukla,Jeffrey F. Naughton
