Source,Target
Abdullah Al-Hamdani,Ismail Sengör Altingövde
Abdullah Al-Hamdani,Selma Ayse Özel
Abdullah Al-Hamdani,Özgür Ulusoy
Achim Kraiss,Frank Schön
Achim Kraiss,Gerhard Weikum
Achim Kraiss,Uwe Deppisch
Ada Wai-Chee Fu,David Wai-Lok Cheung
Ada Wai-Chee Fu,Frank Chi-Hung Tong
Ada Wai-Chee Fu,Ke Wang 0001
Adam Czezowski,Peter Christen
Adam Kowalczyk,Alexander J. Smola
Adam Laud,Gerald DeJong
Adam Meyerson,Nina Mishra
Adam Meyerson,Rajeev Motwani 0001
Adam Milstein,Evan Tang Williamson
Adam Milstein,Javier Nicolás Sánchez
Adam Rosien,Jeffrey Heer
Adriano Veloso,Bruno Gusmão Rocha
Adriano Veloso,Bruno Pôssas
Adriano Veloso,Mohammed Javeed Zaki
Adriano Veloso,Márcio de Carvalho
Adriano Veloso,Wagner Meira Jr.
Ahmed K. Elmagarmid,Athena Vakali
Ahmed K. Elmagarmid,Ihab F. Ilyas
Ahmed K. Elmagarmid,Moustafa A. Hammad
Ahmed K. Elmagarmid,Sunil Prabhakar
Ahmed K. Elmagarmid,Vassilios S. Verykios
Ahmed K. Elmagarmid,Yi-Cheng Tu
Ahuva Mu'alem,Noam Nisan
Aidan Finn,Barry Smyth
Aidan Finn,Nicholas Kushmerick
Alan Fern,Jeffrey Mark Siskind
Alan Fern,Robert Givan
Alberto H. F. Laender,Edward A. Fox
Alberto H. F. Laender,Juliano Palmieri Lage
Alberto H. F. Laender,Marcos André Gonçalves
Alberto H. F. Laender,Monique V. Vieira
Alberto H. F. Laender,Pablo A. Roberto
Alberto Lavelli,Bernardo Magnini
Alberto Lavelli,Fabrizio Sebastiani 0001
Alberto O. Mendelzon,John Keenleyside
Alberto O. Mendelzon,Kelly A. Lyons
Alberto Pan,Anastasio Molano
Alberto Pan,Juan Raposo
Alberto Pan,Justo Hidalgo
Alberto Pan,Lucía Ardao
Alberto Pan,Manuel Álvarez
Alberto Pan,Paula Montoto
Alberto Pan,Vicente Orjales
Alberto Pan,Ángel Viña
Albrecht Schmidt 0002,Florian Waas
Albrecht Schmidt 0002,Ioana Manolescu
Albrecht Schmidt 0002,Martin L. Kersten
Albrecht Schmidt 0002,Michael J. Carey 0001
Albrecht Schmidt 0002,Ralph Busse
Alessandro Campi,Stefano Ceri
Alex Fabrikant,Tad Hogg
Alex S. Fukunaga,David Andre
Alex S. Fukunaga,Ed Hamilton
Alex S. Fukunaga,Jason Fama
Alex S. Fukunaga,Ofer Matan
Alexander G. Hauptmann,ChengXiang Zhai
Alexander G. Hauptmann,James P. Callan
Alexander Hinneburg,Daniel A. Keim
Alexander Hinneburg,Markus Wawryniuk
Alexander Kott,John Langston
Alexander Kott,Kenneth D. Forbus
Alexander Kott,Larry Ground
Alexander Kott,Ray Budd
Alexander Kreutz,Alfons Kemper
Alexander Kreutz,Donald Kossmann
Alexander M. Fraser,Ralph M. Weischedel
Alexander Maedche,Valentin Zacharias
Alexander S. Szalay,Ani Thakar
Alexander S. Szalay,Christopher Stoughton
Alexander S. Szalay,Jan vandenBerg
Alexander S. Szalay,Jim Gray 0001
Alexander S. Szalay,Peter Z. Kunszt
Alexander Tuzhilin,Bing Liu 0001
Alexander Tuzhilin,Gediminas Adomavicius
Alexander Ypma,Tom Heskes
Alexandra Poulovassilis,Peter T. Wood
Alexandre Termier,Michèle Sebag
Alexandre V. Evfimievski,Johannes Gehrke
Alexandre V. Evfimievski,Rakesh Agrawal 0001
Alexandros Nanopoulos,Yannis Manolopoulos
Alexandros Nanopoulos,Yannis Theodoridis
Alfons Kemper,Donald Kossmann
Alfredo Cuzzocrea,Andrea Pugliese 0001
Alfredo Cuzzocrea,Carlo Mastroianni
Alfredo Cuzzocrea,Riccardo Ortale
Ali Saman Tosun,Hakan Ferhatosmanoglu
Alin Dobra,Johannes Gehrke
Alin Dobra,Rajeev Rastogi
Alok Kirpal,Chandra Mouli
Amal Perera,Yi Zhang
Amir Globerson,Naftali Tishby
Amy Greenwald,Peter R. Wurman
Amy Greenwald,Peter Stone
Amy P. Felty,Stan Matwin
Anastasio Molano,Ángel Viña
Andreas Geyer-Schulz,Michael Hahsler
Andreas Grünhagen,Donald Kossmann
Andreas Grünhagen,Steffen Rost
Andreas Koeller,Elke A. Rundensteiner
Andreas Rauber,Dieter Merkl
Andreas Rauber,Elias Pampalk
Andrew Garland,Neal Lesh
Andrew Graves,Mounia Lalmas
Andrew I. Schein,David M. Pennock
Andrew I. Schein,Lyle H. Ungar
Andrew J. Martignoni III,William D. Smart
Andrew Turpin,William R. Hersh
Andrew W. Moore 0001,Gregory F. Cooper
Andrew W. Moore 0001,Jeff G. Schneider
Andrew W. Moore 0001,Michael M. Wagner
Andrzej Cichocki,Joseph Desmarais
Andrzej Cichocki,Peter Bates
André Seifert,Marc H. Scholl
