,gender,varying
Abdullah Al-Hamdani,M,1
Achim Kraiss,M,1
Ada Wai-Chee Fu,F,3
Adam Czezowski,M,1
Adam Kowalczyk,M,2
Adam Laud,M,1
Adam Meyerson,M,1
Adam Milstein,M,1
Adam Rosien,M,1
Adnan Darwiche,M,1
Adriano Veloso,M,2
Ahmed K. Elmagarmid,M,4
Ahuva Mu'alem,F,1
Aidan Finn,M,1
Alan F. Smeaton,M,1
Alan Fern,M,1
Alan M. Frisch,M,1
Alberto H. F. Laender,M,2
Alberto Lavelli,M,1
Alberto O. Mendelzon,M,2
Alberto Pan,M,1
Albrecht Schmidt 0002,M,1
Alejandro P. Buchmann,M,2
Alessandro Campi,M,1
Alex Fabrikant,M,1
Alex S. Fukunaga,M,1
Alexander G. Hauptmann,M,2
Alexander Gammerman,M,3
Alexander Hinneburg,M,1
Alexander J. Smola,M,1
Alexander Kott,M,2
Alexander Kreutz,M,1
Alexander M. Fraser,M,1
Alexander Maedche,M,1
Alexander S. Szalay,M,1
Alexander Tuzhilin,M,2
Alexander Ypma,M,1
Alexandra Poulovassilis,F,1
Alexandre Termier,M,1
Alexandre V. Evfimievski,M,1
Alexandre X. Falcão,M,1
Alexandros Nanopoulos,M,1
Alfons Kemper,M,4
Alfredo Cuzzocrea,M,1
Ali Saman Tosun,M,1
Alin Dobra,M,2
Allan D. Jepson,M,1
Alok Kirpal,M,1
Alon Y. Halevy,M,2
Alpha K. Luk,F,1
Amal Perera,F,1
Amar Gupta,M,1
Amir Globerson,M,1
Amit P. Sheth,M,1
Amit Somani,M,1
Amr El Abbadi,M,3
Amy Greenwald,F,1
Amy P. Felty,F,1
Amélie Marian,F,2
Anastasio Molano,M,1
Anatole Gershman,M,1
Andrea Pugliese 0001,F,1
Andreas Dengel 0001,M,1
Andreas Geyer-Schulz,M,1
Andreas Grünhagen,M,2
Andreas Heuer 0001,M,1
Andreas Koeller,M,1
Andreas Rauber,M,1
Andreas Stephanik,M,1
Andres C. Rodriguez,M,1
Andrew G. Barto,M,1
Andrew Garland,M,1
Andrew Graves,M,1
Andrew I. Schein,M,1
Andrew J. Martignoni III,M,1
Andrew Lim 0001,M,1
Andrew Nierman,M,1
Andrew Turpin,M,1
Andrew W. Moore 0001,M,2
Andrew Y. Ng,M,1
Andrzej Cichocki,M,1
André Seifert,M,1
Angela Bonifati,F,1
Angelo J. Pilotto,M,1
Ani Thakar,F,1
Anis Benammar,M,1
Anja Theobald,F,1
Ann Christine Catlin,F,1
Anna C. Gilbert,F,1
Annalisa De Bonis,F,1
Anne Descour,F,1
Anne Diekema,F,1
Anne H. H. Ngu,F,2
Anne Ruas,F,1
Anne-Marie Vercoustre,F,1
Anni Coden,F,1
Anthony Kosky,M,1
Anthony Rowe,M,1
Anthony Tomasic,M,1
Antoine Mensch,M,1
Anton Faradjian,M,1
Anton Leuski,M,1
Anton Schwaighofer,M,1
Antonio Lopez,M,1
Antonios Deligiannakis,M,1
Anupam Joshi,M,1
Anuradha Bhamidipaty,F,2
Ao Feng,M,1
Arash Rafiey,M,1
Aris Tsois,M,1
Aristides Gionis,M,1
Arjen P. de Vries,M,1
Arkady B. Zaslavsky,M,1
Armando Tacchella,M,1
Armin Hust,M,1
Arnaud Giacometti,M,1
Arnd Christian König,M,1
Arno J. Knobbe,M,1
Arno Siebes,M,1
Arthur H. M. ter Hofstede,M,1
Aruna Lorensuhewa,F,1
Arvind Arasu,M,1
Arvind Hulgeri,M,2
Arvind Seth,M,1
Ashish Goel,M,1
Ashish Kumar Gupta,M,1
Ashish Sureka,M,1
Ashutosh Garg,M,2
Asuman Dogac,F,1
Athanasios K. Tsakalidis,M,1
Athena Vakali,F,1
Avi Finkel,M,1
Avigdor Gal,M,1
Axel Kilian,M,1
Axel Mönkeberg,M,1
Aya Soffer,F,2
Ayhan Demiriz,M,1
Ayman Farahat,M,1
Babak Akhgar,M,2
Barbara Oliboni,F,1
Barry Smyth,M,1
Bart Goethals,M,1
Bart Marseille,M,1
Bart Selman,M,1
Bei Yu,M,1
Ben Kao,M,2
Ben Wegbreit,M,1
Benjamin B. Perry,M,1
Benjamin Kuipers,M,1
Benoît Dageville,M,1
Bernard Manderick,M,1
Bernardo Magnini,M,1
Bernd Amann,M,1
Bernd Meyer 0001,M,1
Bernd Wiswedel,M,1
Bernhard Mitschang,M,1
Bernhard Pfahringer,M,1
Bernhard Schölkopf,M,1
Bernhard Seeger,M,2
Bernhard Zeller,M,1
Bertram Ludäscher,M,2
